#Run	Sample
SRR1273853	SRS603590
SRR1273854	SRS603590
SRR1273855	SRS603590
SRR1282352	SRS603590
SRR1282353	SRS603590
SRR1282354	SRS602594
SRR1272415	SRS602594
SRR1272416	SRS602594
SRR1272417	SRS602594
SRR1272418	SRS602594
SRR1272478	SRS602854
SRR1272479	SRS602854
SRR1272480	SRS602854
SRR1272481	SRS602854
SRR1284236	SRS603863
SRR1274721	SRS603863
SRR1274722	SRS603863
SRR1274723	SRS603863
SRR1274717	SRS603862
SRR1274718	SRS603862
SRR1274719	SRS603862
SRR1274720	SRS603862
SRR1274813	SRS603901
SRR1274814	SRS603901
SRR1274815	SRS603901
SRR1274816	SRS603901
SRR1274859	SRS603924
SRR1274860	SRS603924
SRR1274861	SRS603924
SRR1274862	SRS603924
SRR1274963	SRS603947
SRR1274964	SRS603947
SRR1274965	SRS603947
SRR1274966	SRS603947
SRR1282348	SRS604114
SRR1282349	SRS604114
SRR1282350	SRS604114
SRR1282351	SRS604114
